category,startup_count,total_revenue,median_revenue,startup_share,revenue_share,performance_index
E-commerce,14,11129700,23500.0,0.05622489959839357,0.4564064710586209,8.117515092399758
Content Creation,16,3349300,14500.0,0.0642570281124498,0.13734801418875972,2.137478470812573
SaaS,21,1706000,25000.0,0.08433734939759036,0.06995960714358943,0.8295210561311318
AI,23,1587700,36000.0,0.09236947791164658,0.06510836357671568,0.7048688056783567
Marketing,20,1563000,23500.0,0.08032128514056225,0.06409546656824752,0.7979885587746817
Education,15,762200,37000.0,0.060240963855421686,0.03125627934633286,0.5188542371491255
Entertainment,4,500000,33000.0,0.01606425702811245,0.020503988025670994,1.2763732545980195
Marketplace,11,487700,17000.0,0.04417670682730924,0.019999589920239487,0.4527179900126938
Analytics,12,416900,17500.0,0.04819277108433735,0.017096225215804475,0.35474667322794284
Health & Fitness,11,365700,8500.0,0.04417670682730924,0.014996616841975764,0.3394688721501787
Security,3,341000,46000.0,0.012048192771084338,0.013983719833507617,1.1606487461811321
Productivity,6,331100,17000.0,0.024096385542168676,0.013577740870599332,0.5634762461298722
Mobile Apps,15,269200,14000.0,0.060240963855421686,0.011039347153021262,0.18325316274015296
Social Media,10,253100,20500.0,0.040160642570281124,0.010379118738594657,0.258440056591007
OpenClaw (special),9,204700,14000.0,0.03614457831325301,0.008394332697709705,0.2322432046366352
Developer Tools,12,194700,9600.0,0.04819277108433735,0.007984252937196285,0.1656732484468229
Sales,7,139500,10000.0,0.028112449799196786,0.005720612659162207,0.20349036459019854
Design Tools,6,121500,10500.0,0.024096385542168676,0.004982469090238051,0.2067724672448791
Real Estate,4,120400,16150.0,0.01606425702811245,0.004937360316581575,0.3073506797072031
Games,4,83800,17000.0,0.01606425702811245,0.0034364683931024584,0.21392015747062806
Travel,4,73800,14000.0,0.01606425702811245,0.0030263886325890385,0.18839269237866765
Community,4,72000,18000.0,0.01606425702811245,0.002952574275696623,0.1837977486621148
Customer Support,3,68000,21000.0,0.012048192771084338,0.002788542371491255,0.23144901683377417
IoT & Hardware,1,55000,55000.0,0.004016064257028112,0.002255438682823809,0.5616042320231285
Legal,1,55000,55000.0,0.004016064257028112,0.002255438682823809,0.5616042320231285
Recruiting & HR,4,45800,9800.0,0.01606425702811245,0.001878165303151463,0.11691579012117857
Fintech,4,43700,10900.0,0.01606425702811245,0.0017920485534436447,0.1115550224518669
No-Code,2,20300,10150.0,0.008032128514056224,0.0008324619138422423,0.10364150827335918
Utilities,2,17000,8500.0,0.008032128514056224,0.0006971355928728138,0.08679338131266533
News & Magazines,1,7700,7700.0,0.004016064257028112,0.0003157614155953333,0.078624592483238
